Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
PrivateFrameworks/H10ISPServices : 360
PrivateFrameworks/HDAInterface : 1675
PrivateFrameworks/HDRProcessing : 62
PrivateFrameworks/HID : 209
PrivateFrameworks/HIDAnalytics : 60
PrivateFrameworks/HIDDisplay : 60
PrivateFrameworks/HIDPreferences : 60
PrivateFrameworks/HMFoundation : 347
PrivateFrameworks/HTTPServer : 273
PrivateFrameworks/HearingCore : 30
PrivateFrameworks/HearingUtilities : 30
PrivateFrameworks/HeimODAdmin : 12
PrivateFrameworks/Heimdal : 53
PrivateFrameworks/Helium : 312
PrivateFrameworks/HelloWorldMacHelper : 27
PrivateFrameworks/HelpData : 30
PrivateFrameworks/HomeAI : 116
PrivateFrameworks/HomeAutomationInternal : 106
PrivateFrameworks/HomeKit : 109
PrivateFrameworks/HomeKitBackingStore : 109
PrivateFrameworks/HomeKitCore : 109
PrivateFrameworks/HomeKitDaemon : 109
PrivateFrameworks/IAP : 781
PrivateFrameworks/IASUtilities : 17
PrivateFrameworks/IDS : 19
PrivateFrameworks/IDSFoundation : 19
PrivateFrameworks/IDSHashPersistence : 89
PrivateFrameworks/IDSKVStore : 89
PrivateFrameworks/IDSSystemPreferencesSignIn : 19
PrivateFrameworks/IMAVCore : 3185
PrivateFrameworks/IMAssistantCore : 53
PrivateFrameworks/IMCore : 53
PrivateFrameworks/IMCorePipeline : 53
PrivateFrameworks/IMDMessageServices : 53
PrivateFrameworks/IMDPersistence : 53
PrivateFrameworks/IMDaemonCore : 53
PrivateFrameworks/IMFoundation : 21
PrivateFrameworks/IMSharedUI : 52
PrivateFrameworks/IMSharedUtilities : 53
PrivateFrameworks/IMTranscoderAgent : 53
PrivateFrameworks/IMTranscoding : 53
PrivateFrameworks/IMTransferAgent : 53
PrivateFrameworks/IMTransferServices : 21
PrivateFrameworks/IOAccelMemoryInfo : 13
PrivateFrameworks/IOAccelerator : 13
PrivateFrameworks/IOCEC : 17756
PrivateFrameworks/IOGPU : 1252
PrivateFrameworks/IOImageLoader : 2116
PrivateFrameworks/IOKitten : 1690
PrivateFrameworks/IOMobileFramebuffer : 26
PrivateFrameworks/IOPlatformPluginFamily : 272
PrivateFrameworks/IOPresentment : 4
PrivateFrameworks/IOSurfaceAccelerator : 2562
PrivateFrameworks/ISSupport : 11902
PrivateFrameworks/IdleTimerServices : 1330
PrivateFrameworks/InAppMessages : 429
PrivateFrameworks/InAppMessagesCore : 1615
PrivateFrameworks/IncomingCallFilter : 3429
PrivateFrameworks/InertiaCam : 1112
PrivateFrameworks/InputContext : 336
PrivateFrameworks/InputTranscoder : 1047
PrivateFrameworks/Install : 58
PrivateFrameworks/InstallCoordination : 78
PrivateFrameworks/InstallerDiagnostics : 2437
PrivateFrameworks/InternalSwiftProtobuf : 3131
PrivateFrameworks/InternationalSupport : 870
PrivateFrameworks/InternationalTextSearch : 1168
PrivateFrameworks/InternetAccounts : 702
PrivateFrameworks/IntlPreferences : 19
PrivateFrameworks/JavaLaunching : 16
