Applications/AltTab : 2.3.4
PrivateFrameworks/MediaConversionService : 18
PrivateFrameworks/MediaExperience : 10
PrivateFrameworks/MediaKit : 5058
PrivateFrameworks/MediaMiningKit : 20
PrivateFrameworks/MediaRemote : 29
PrivateFrameworks/MediaServices : 29
PrivateFrameworks/MediaStream : 18
PrivateFrameworks/Memories : 24
PrivateFrameworks/MessageProtection : 692
PrivateFrameworks/MessageSecurity : 557
PrivateFrameworks/MessageUIMacHelper : 26
PrivateFrameworks/MetalTools : 17
PrivateFrameworks/MetricKitCore : 1319
PrivateFrameworks/MetricKitServices : 1319
PrivateFrameworks/MetricKitSource : 1319
PrivateFrameworks/MetricMeasurement : 1319
PrivateFrameworks/MiniSoftwareUpdate : 2033
PrivateFrameworks/MobileAccessoryUpdater : 84
PrivateFrameworks/MobileActivationMacOS : 41
PrivateFrameworks/MobileAsset : 370
PrivateFrameworks/MobileAssetUpdater : 84
PrivateFrameworks/MobileBluetooth : 52
PrivateFrameworks/MobileDevice : 692
PrivateFrameworks/MobileIcons : 293
PrivateFrameworks/MobileKeyBag : 619
PrivateFrameworks/Mondrian : 16
PrivateFrameworks/MonitorPanel : 23
PrivateFrameworks/Montreal : 753
PrivateFrameworks/MultitouchSupport : 626
PrivateFrameworks/MultiverseSupport : 1200
PrivateFrameworks/NLP : 4334
PrivateFrameworks/Navigation : 53
PrivateFrameworks/NearField : 36
PrivateFrameworks/NetAppsUtilities : 5759
PrivateFrameworks/NetAuth : 262
PrivateFrameworks/NetFSServer : 608
PrivateFrameworks/Netrb : 469
PrivateFrameworks/Network : 68
PrivateFrameworks/NetworkServiceProxy : 3566
PrivateFrameworks/NetworkStatistics : 5355
PrivateFrameworks/NeutrinoCore : 18
PrivateFrameworks/NeutrinoKit : 18
PrivateFrameworks/Notes : 36
PrivateFrameworks/NotesShared : 36
PrivateFrameworks/NotesUI : 36
PrivateFrameworks/Noticeboard : 2514
PrivateFrameworks/NotificationCenterUI : 21
PrivateFrameworks/OAuth : 19182
PrivateFrameworks/OSAServicesClient : 23
PrivateFrameworks/OSASubmissionClient : 23
PrivateFrameworks/OSASyncProxyClient : 23
PrivateFrameworks/OSAnalytics : 23
